id,citation,url,watershed_name,figure_num,figure_caption,figure_url,attribution,attribution_url,spatial_property,spatial_property_original,num_spatial_zones,temporal_property,temporal_property_original,num_temporal_zones,vegetation_info,vegetation_info_original,soil_info,soil_info_original,geol_info,geol_info_original,topo_info,topo_info_original,three_d_info,three_d_info_original,uncertainty_info,uncertainty_info_original,other_info,num_flux_from_sql,flux_list_from_sql,num_flux_hilary,flux1,flux1_taxonomy,flux2,flux2_taxonomy,flux3,flux3_taxonomy,flux4,flux4_taxonomy,flux5,flux5_taxonomy,flux6,flux6_taxonomy,flux7,flux7_taxonomy,flux8,flux8_taxonomy,flux9,flux9_taxonomy,flux10,flux10_taxonomy,flux11,flux11_taxonomy,flux12,flux12_taxonomy,flux13,flux13_taxonomy,flux14,flux14_taxonomy,num_store,store_list,num_stores,store1,store1_taxonomy,store2,store2_taxonomy,store3,store3_taxonomy,store4,store4_taxonomy,store5,store5_taxonomy,store6,store6_taxonomy,store7,store7_taxonomy,store8,store8_taxonomy,store9,store9_taxonomy,store10,store10_taxonomy
21,"Helms, M, O Evdakov, J Ihringer, and F Nestmann. “Modelling Spring Flood in the Area of the Upper Volga Basin.” Advances in Geosciences 9 (2006): 115–22.",https://doi.org/10.5194/adgeo-9-115-2006,Kostroma Catchment,7,"Scheme of the discussed runoff-generation mechanism of spring ﬂood events in catchments with predominating podzoluvisols. Blue arrows indicate dynamics of soil water, brown block arrows those of the soil matrix due to shrinkage or swelling of clay",https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/a69a45f9dc8f48ecbe7cf241f38a9221/data,CC BY-NC-SA 2.5,https://creativecommons.org/licenses/by-nc-sa/2.5/,N,N,1,Season,"Summer, Autumn, Spring-initial loss, Spring flood",4,N,N,Horizons described,Y,N,N,N,N,N,N,N,N,Just shown as soil sections,5.0,"Vertical macropore flow, Displacement of groundwater, Infiltration, Lateral matrix flow at soil horizons, Mixing",7.0,Infiltration,Infiltration, swelling/shrinking of clay,Soil swelling/cracking, macropore flow,Vertical macropore flow, macro/matrix interaction,Mixing, runoff from Bt-E horizon,Lateral matrix flow at soil horizons, runoff from saturated zone,Displacement of groundwater, rise in water table (most shown as unlabelled arrows),Water table rise,,,,,,,,,,,,,,,5.0,"Soil water storage, Soil water storage, Water table rise, Groundwater storage, Soil swelling/cracking",3.0,E horizon,Soil water storage, Bt horizon,Soil water storage , saturated area,Groundwater Storage,,,,,,,,,,,,,,
22,"Inamdar SP, Mitchell MJ. 2007. Contributions of riparian and hillslope waters to storm runoff across multiple catchments and storm events in a glaciated forested watershed. Journal of Hydrology 341 (1): 116–130 DOI: 10.1016/j.jhydrol.2007.05.007",https://doi.org/10.1016/j.jhydrol.2007.05.007,"Point Peter Brook watershed, New York",6,Not open-access,,Not open-access,,N,N,1,Event,"Before event, peak, recession (times shown on hydrograph)",3,N,N,N,N,N,N,N,N,N,N,N,N,,3.0,"Riparian Groundwater Flow, Exfiltration, Throughfall",3.0,Throughfall,Throughfall, seep groundwater,Exfiltration, riparian water (all as contributions to streamflow),Riparian Groundwater Flow,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
23,"Klaus J, McDonnell JJ, Jackson CR, Du E, Griffiths NA. 2015. Where does streamwater come from in low-relief forested watersheds? A dual-isotope approach. Hydrology and Earth System Sciences 19 (1): 125–135 DOI: 10.5194/hess-19-125-2015",https://doi.org/10.5194/hess-19-125-2015,"3 watersheds (R, C, B) in Upper Fourmile Branch, South Carolina",8,"Conceptual model of baseﬂow runoff generation and enrichment in heavy isotopes from rainfall to streamﬂow. Key element is the disconnectivity between the hillslopes and the riparian-stream systems, which is likely sustained by precipitation and deeper groundwater",https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/888b8c6f5857489d93b1617a701142b2/data,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,Unknown items identified,Hillslope-stream connectivity shown with a '?',Focused on isotope enrichment processes,6.0,"Channel flow, Soil surface evaporation, Riparian transpiration, Connectivity between hillslopes and channel, Subsurface stormflow, Gaining stream",6.0,Subsurface stormflow,Subsurface stormflow, streamflow,Channel flow, hillslope-stream connectivity,Connectivity between hillslopes and channel, groundwater-stream two-way connectivity (shown but not labelled),Gaining stream,Enrichment of soil water,Soil surface evaporation,Riparian wetland with enrichment processes,Riparian transpiration,,,,,,,,,,,,,,,,,4.0,"Channel storage, Riparian aquifer storage, Groundwater storage, Soil water storage",4.0,Riparian wetland/Riparian zone,Riparian aquifer storage, soil water,Soil water storage, groundwater,Groundwater Storage, channel (shown but no label),Channel storage,,,,,,,,,,,,
24,"Koch K, Wenninger J, Uhlenbrook S, Bonell M. 2009. Joint interpretation of hydrological and geophysical data: electrical resistivity tomography results from a process hydrological research site in the Black Forest Mountains, Germany. Hydrological processes 23 (10): 1501–1513 DOI: 10.1002/hyp.7275",https://doi.org/10.1002/hyp.7275,"Brugga experimental basin, Black Forest Mountains",13,Not open-access,,Not open-access,,N,N,1,N,N,1,Vegetation described,Different icons used for trees/small grass(?),N,N,N,N,N,N,N,N,N,N,Arrows show direction of groundwater e.g. towards zones of higher conductivity,5.0,"Groundwater flow, Groundwater flow, Springflow, Channel flow, Evapotranspiration",5.0,Groundwater flow,Groundwater flow, groundwater flow in crystalline bedrock (shown with different arrow style),Groundwater flow , spring,Springflow, stream/drainage trench,Channel flow,evapotranspiration,Evapotranspiration,,,,,,,,,,,,,,,,,,,5.0,"Groundwater storage, Channel storage, Bedrock fracture storage, Groundwater storage, Groundwater storage",5.0,Shallow aquifer,Groundwater Storage, main aquifer,Groundwater Storage , zone of better hydraulic conductivity,Groundwater Storage , fractured zone of crystalline bedrock,Bedrock fracture storage, stream,Channel storage,,,,,,,,,,
25,"Li L, DiBiase RA, Del Vecchio J, Marcon V, Hoagland B, Xiao D, Wayman C, Tang Q, He Y, Silverhart P, et al. 2018. The effect of lithology and agriculture at the Susquehanna Shale Hills Critical Zone Observatory. Vadose zone journal: VZJ 17 (1): 1–15 DOI: 10.2136/vzj2018.03.0063",https://doi.org/10.2136/vzj2018.03.0063,Susquehanna Shale Hills CZO - Garner Run,11 - top,Cross-section diagrams of Garner Run (top) and Cole Farm (bottom). Solid blue lines represent the regional groundwater table based on water level measurements. Dashed blue lines represent interflow pathways inferred from spring outcroppings and the depth at which the soil meets the fractured bedrock interface. Stratigraphy from Cole Farm well log data is featured to vertical scale. The stratigraphy for Garner Run in the vertical extent depicted is comprised primarily of the Tuscarora sandstone formation with <2 m of soil at the surface. The inferred extent of the valley fill at Garner Run is highlighted in gray,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/9e7d1c7fcb8c4bb2b2f458f4e12a174f/data,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,Aspects,SE-facing/NW-facing slopes,2,N,N,1,Forest described,N - pine tree images shown,N,N,Geological types described,Y In caption,Scale bar shown,"Shows vertical scales at ridge and valley floor, and lateral scale",N,N,N,N,"Pictures of suface rocks shown, unsure of significance",4.0,"Vertical drainage to groundwater, Subsurface stormflow, Springflow, Regional groundwater flow",4.0,Recharge,Vertical drainage to groundwater, interflow (indicated as saturated by local water table symbol?),Subsurface stormflow, regional groundwater flow,Regional Groundwater Flow, spring discharge,Springflow,,,,,,,,,,,,,,,,,,,,,4.0,"Channel storage, Perched water tables, Regional Groundwater storage, Soil water storage",4.0,Soil (in caption but not in picture),Soil water storage,water table mark shown,Perched water tables, regional groundwater table,Regional Groundwater Storage," creek (shown, not labelled)",Channel storage,,,,,,,,,,,,
26,"Li L, DiBiase RA, Del Vecchio J, Marcon V, Hoagland B, Xiao D, Wayman C, Tang Q, He Y, Silverhart P, et al. 2018. The effect of lithology and agriculture at the Susquehanna Shale Hills Critical Zone Observatory. Vadose zone journal: VZJ 17 (1): 1–15 DOI: 10.2136/vzj2018.03.0064",https://doi.org/10.2136/vzj2018.03.0063,Susquehanna Shale Hills CZO - Cole Farm,11 - bottom,Cross-section diagrams of Garner Run (top) and Cole Farm (bottom). Solid blue lines represent the regional groundwater table based on water level measurements. Dashed blue lines represent interflow pathways inferred from spring outcroppings and the depth at which the soil meets the fractured bedrock interface. Stratigraphy from Cole Farm well log data is featured to vertical scale. The stratigraphy for Garner Run in the vertical extent depicted is comprised primarily of the Tuscarora sandstone formation with <2 m of soil at the surface. The inferred extent of the valley fill at Garner Run is highlighted in gray,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/9e7d1c7fcb8c4bb2b2f458f4e12a174f/data,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,N,N,1,N,N,1,Forest described,N - pine & other tree images shown,N,N,Geological types described,Y In caption,Scale bar shown,Vertical and lateral scales,N,N,N,N,,4.0,"Springflow, Subsurface stormflow, Vertical drainage to groundwater, Regional groundwater flow",4.0,Recharge,Vertical drainage to groundwater, interflow (indicated as saturated by local water table symbol?),Subsurface stormflow, regional groundwater flow,Regional Groundwater Flow, spring discharge,Springflow,,,,,,,,,,,,,,,,,,,,,4.0,"Regional Groundwater storage, Perched water tables, Channel storage, Lake storage",4.0,Pond,Lake storage, creek,Channel storage, regional water table,Regional Groundwater Storage,water table mark shown,Perched water tables,,,,,,,,,,,,
27,"Loritz R, Hassler SK, Jackisch C, Allroggen N, van Schaik L, Wienhöfer J, Zehe E. 2017. Picturing and modeling catchments by representative hillslopes. Hydrology and Earth System Sciences 21 (2): 1225–1249 DOI: 10.5194/hess-21-1225-2017",https://doi.org/10.5194/hess-21-1225-2017,Colpach,3a,Perceptual models of the (a) Colpach and (b) Wollefsbach and their translation into a representative hillslope model for CATFLOW. It is important to note that only small sections of the model hillslope are displayed (C Colpach; D Wollefsbach) and not the entire hillslope,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/5ced7d98c8b94f12bde151990377b213/data,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,N,N,1,N,N,1,Vegetation described,Various tree and grass icons,N,N,N,N,N,N,N,N,N,N,Also shows translation into model structure,1.0,Lateral macropore flow at soil-bedrock interface,1.0,Lateral flow along bedrock interface (arrow but not labelled),Lateral macropore flow at soil-bedrock interface,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"Soil water storage, Bedrock hollows",2.0,Soil,Soil water storage, bedrock interface (=hollows),Bedrock hollows,,,,,,,,,,,,,,,,
28,"Loritz R, Hassler SK, Jackisch C, Allroggen N, van Schaik L, Wienhöfer J, Zehe E. 2017. Picturing and modeling catchments by representative hillslopes. Hydrology and Earth System Sciences 21 (2): 1225–1249 DOI: 10.5194/hess-21-1225-2017",https://doi.org/10.5194/hess-21-1225-2017,Wollefsbach,3b,Perceptual models of the (a) Colpach and (b) Wollefsbach and their translation into a representative hillslope model for CATFLOW. It is important to note that only small sections of the model hillslope are displayed (C Colpach; D Wollefsbach) and not the entire hillslope,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/5ced7d98c8b94f12bde151990377b213/data,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,N,N,1,N,N,1,Vegetation described,"Tree, grass, crop icons",N,N,N,N,N,N,N,N,N,N,Also shows translation into model structure,2.0,"Vertical macropore flow, Tile drain flow",2.0,Vertical structure,Vertical macropore flow,Vertical and horizontal flow arrows shown along manmade drainage network,Tile drain flow,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Soil water storage,1.0,Soil,Soil water storage,,,,,,,,,,,,,,,,,,
29,"Louw PGB de, de Louw PGB, van der Velde Y, van der Zee SEATM. 2011. Quantifying water and salt fluxes in a lowland polder catchment dominated by boil seepage: a probabilistic end-member mixing approach. Hydrology and Earth System Sciences 15 (7): 2101–2117 DOI: 10.5194/hess-15-2101-2011",https://doi.org/10.5194/hess-15-2101-2011,Noordplas Polder,1,"The geohydrology and water and salt ﬂuxes in a lowland polder catchment area. Upward groundwater seepage from the upper aquifer can be divided into three different types according to De Louw et al. (2010): diffuse-, paleochannel-, and boil seepage",https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/b59a70ad3e77490f86cfa110c4817cc5/data,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,N,N,1,N,N,1,N,N,N,N,N,N,N,N,3D graphics,Shown in 3D to show difference between polder and higher field areas,N,N,"Shows vertical scale, shows isolines of chloride for salinity",6.0,"Exfiltration, Exfiltration, Pumped discharge, Exfiltration, Evapotranspiration, Pumped discharge",6.0,Admission of boezem water (into polder),Pumped discharge, diffuse seepage (water from upper aquifer to polder),Exfiltration, palechannel seepage (from upper aquifer to polder),Exfiltration , boil seepage (upper aquifer to polder),Exfiltration , polder water discharge (pumped back into boezem),Pumped discharge,evapotranspiration,Evapotranspiration,,,,,,,,,,,,,,,,,4.0,"Groundwater storage, Groundwater storage, Channel storage, Soil water storage",4.0,Holocene confining layer (Peat/clay),Soil water storage, upper aquifer,Groundwater Storage, boezem (=manmade channel to remove water),Channel storage,paleochannel belt (permeable sandy belts breaking the confining layer),Groundwater Storage ,,,,,,,,,,,,
30,"Lovill, S. M., Hahm, W. J., & Dietrich, W. E. (2018). Drainage from the critical zone: Lithologic controls on the persistence and spatial extent of wetted channels during the summer dry season. Water Resources Research, 54(8), 5702–5726. https://doi.org/10.1029/2017wr021903",https://doi.org/10.1029/2017WR021903,Eel River CZO - Angelo,13,Not open-access,,Not open-access,,Soil or Geology,Thickness of weathered bedrock,2,N,N,1,Forest described,N - different tree types shown in images but not named,N,N,N,N,N,N,N,N,N,N  ,Bedrock bedding planes shown,3.0,"Groundwater flow, Channel flow, Springflow",3.0,Downslope groundwater flow,Groundwater flow, springflow,Springflow, channel flow,Channel flow,,,,,,,,,,,,,,,,,,,,,,,4.0,"Water Table, Soil water storage, Dynamic groundwater storage, Groundwater storage",4.0,Soil,Soil water storage, seasonally saturated zone,Dynamic groundwater storage, water table,Water Table, weathered bedrock,Groundwater Storage,,,,,,,,,,,,
31,"Lovill, S. M., Hahm, W. J., & Dietrich, W. E. (2018). Drainage from the critical zone: Lithologic controls on the persistence and spatial extent of wetted channels during the summer dry season. Water Resources Research, 54(8), 5702–5726. https://doi.org/10.1029/2017wr021903",https://doi.org/10.1029/2017WR021903,Eel River CZO - Sagehorn,13,Not open-access,,Not open-access,,Soil or Geology,Thickness of weathered bedrock,2,N,N,1,Forest described,N - different tree types shown in images but not named,N,N,N,N,N,N,N,N,N,N  ,Bedrock bedding planes shown,3.0,"Groundwater flow, Channel flow, Springflow",3.0,Downslope groundwater flow,Groundwater flow, springflow,Springflow, channel flow,Channel flow,,,,,,,,,,,,,,,,,,,,,,,4.0,"Water Table, Soil water storage, Dynamic groundwater storage, Groundwater storage",4.0,Soil,Soil water storage, seasonally saturated zone,Dynamic groundwater storage, water table,Water Table, weathered bedrock,Groundwater Storage,,,,,,,,,,,,
32,"McDonnell JJ. 1990. A rationale for old water discharge through macropores in a steep, humid catchment. Water resources research 26 (11): 2821–2832 DOI: 10.1029/wr026i011p02821",https://doi.org/10.1029/wr026i011p02821,Maimai M8 experimental catchment,10,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,N,N,3D graphics,Hillslope shown in 3D with cut-away to soil-bedrock interface,N,N,Shows locations of new and old water,3.0,"Vertical macropore flow, Lateral macropore flow at soil-bedrock interface, Lateral matrix flow",3.0,Vertical bypassing/preferential flow,Vertical macropore flow, matrix flow,Lateral matrix flow, saturated pipeflow (at soil-bedrock interface),Lateral macropore flow at soil-bedrock interface,,,,,,,,,,,,,,,,,,,,,,,4.0,"Perched water tables, Soil saturation, Organic Layer, Soil water storage",4.0,Organic horizon,Organic Layer, mineral soil - unsaturated,Soil water storage, mineral soil - saturated,Soil saturation, New water backing up into matrix (=saturation at soil-bedrock interface),Perched water tables,,,,,,,,,,,,
33,"McGlynn, B.L., McDonnel, J.J., Brammer, D.D., 2002. A review of the evolving perceptual model of hillslope flowpaths at the Maimai catchments, New Zealand. J. Hydrol. 257, 1–26.",https://doi.org/10.1016/s0022-1694(01)00559-5,Maimai catchments,4d,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,Soil property (organic/mineral),4.0,"Infiltration, Mixing, Lateral macropore flow at soil-bedrock interface, Lateral matrix flow at soil horizons",4.0,"Infiltration (shown, not named)",Infiltration," flow along organic/mineral interface (shown, not named)",Lateral matrix flow at soil horizons, macropore-matrix interaction,Mixing, pipeflow-old water,Lateral macropore flow at soil-bedrock interface,,,,,,,,,,,,,,,,,,,,,5.0,"Water Table, Soil water storage, Organic Layer, Channel storage, Bedrock hollows",5.0,Organic layer,Organic Layer, mineral soil,Soil water storage," water table (marked with symbol, not named)",Water Table, dead zone (hollows on bedrock surface),Bedrock hollows, stream channel,Channel storage,,,,,,,,,,
34,"McMillan, H.K., Clark, M.P., Bowden, W.B., Duncan, M., Woods, R.A., 2011. Hydrological field data from a modeller’s perspective: Part 1. Diagnostic tests for model structure. Hydrol. Process. 25, 511–522. ",https://doi.org/10.1002/hyp.7841,Mahurangi catchments,2,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,"?Should precipitation, evaporation count as fluxes?",5.0,"Vertical drainage to groundwater, Groundwater flow, Evapotranspiration, SE flow from riparian zone, Groundwater flow",5.0, surface runoff,SE flow from riparian zone, percolation,Vertical drainage to groundwater, slow baseflow,Groundwater flow, rapid baseflow,Groundwater flow ,evaporation,Evapotranspiration,,,,,,,,,,,,,,,,,,,3.0,"Soil water storage, Groundwater storage, Soil water storage",3.0,upper soil layer (unlabelled),Soil water storage,clay layer,Soil water storage ,lower layer (in text described as saturated),Groundwater Storage,,,,,,,,,,,,,,
35,"Meerveld, HJ van, BMC Fischer, Michael Rinderer, Manfred Stähli, and Jan Seibert. “Runoff Generation in a Pre-Alpine Catchment: A Discussion between a Tracer and a Shallow Groundwater Hydrologist.” Cuadernos de Investigación Geográfica 44, no. 2 (2018): 429–52.",https://doi.org/10.18172/cig.3349,Alptal watershed,10,"Conceptual model of hydrological processes in the Alptal catchments during baseflow conditions (a) and rainfall events (b). A plan view cross section is given in the top row, while the bottom row depicts a transect along the main slope of the catchment; the inserts show the near surface processes in more detail. The letters and number refer to different processes and phenomena that are described in the text",https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/dfc07c8e5b704fdeb2189ec5fb408b00/data,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,N,N,1,Event,"Baseflow, stormflow",2,Forest described,Pine tree icons,N,N,N,N,N,N,Plan view + cross section,Plan view and cross section shown,N,N,Lots of information in text but very hard to match to unlabelled arrows in diagram,8.0,"Reinfiltration, Lateral macropore flow, Springflow, Intermittent streamflow, Gaining stream, Saturation excess flow, IE flow from impermeable areas, Connectivity between hillslopes and channel",8.0,Baseflow,Gaining stream, springs,Springflow, changes in the flowing stream network length,Channel extension, connectivity between hillslopes and stream,Connectivity between hillslopes and channel, lateral preferential flow paths,Lateral macropore flow, saturation excess flow,Saturation excess flow, infiltration excess flow from bare areas,IE flow from impermeable areas, reinfiltration,Reinfiltration,,,,,,,,,,,,,7.0,"Channel storage, Soil water storage, Soil saturation, Depression storage, Riparian aquifer storage, Soil water storage, Channel extension",7.0,Soil layer ,Soil water storage,Soil layer 2,Soil water storage , ponds,Depression storage, streams,Channel storage, near stream shallow groundwater,Riparian aquifer storage, wetlands,Soil saturation, intermittant streams (all unlabelled),Intermittent streamflow,,,,,,
36,"Mohammed, Aaron A, Edwin E Cey, Masaki Hayashi, and Michael V Callaghan. “Simulating Preferential Flow and Snowmelt Partitioning in Seasonally Frozen Hillslopes.” Hydrological Processes 35, no. 8 (2021): e14277.",https://doi.org/10.1002/hyp.14277,"Triple G, Spyhill, and Stauffer Catchments, Northern Prairie Region",4,Not open-access,,Not open-access,,N,N,1,Season with snow,"Pre-snowmelt, winter melt event, spring melt event, spring thaw",4,N,N,N,N,N,N,N,N,N,N,N,N,"Shading used to show saturation level of soil, location of infiltration/recharge under depression shown by location of arrows",5.0,"Infiltration, Subsurface stormflow, IE flow from frozen ground, Vertical drainage to groundwater, Snowmelt",7.0,Snowmelt,Snowmelt, surface runoff,IE flow from frozen ground, infiltration,Infiltration  , refreezing (of soil),Seasonal soil freeze/thaw, interflow,Subsurface stormflow, groundwater recharge,Vertical drainage to groundwater, rise in water table under surface depression (not labelled) ,Water table rise,,,,,,,,,,,,,,,6.0,"Groundwater storage, Depression storage, Soil water storage, Seasonal soil freeze/thaw, Seasonal soil freeze/thaw, Water table rise",4.0,Depression (surface),Depression storage, frozen soil,Seasonal soil freeze/thaw, vadose zone,Soil water storage, groundwater,Groundwater Storage,,,,,,,,,,,,
37,"Mosquera, Giovanny M, Rolando Célleri, Patricio X Lazo, Kellie B Vaché, Steven S Perakis, and Patricio Crespo. “Combined Use of Isotopic and Hydrometric Data to Conceptualize Ecohydrological Processes in a High-Elevation Tropical Ecosystem.” Hydrological Processes 30, no. 17 (2016): 2930–47.",https://doi.org/10.1002/hyp.10927,"Zhurucay River Ecohydrological Observatory, Andean cordillera",9,Not open-access,,Not open-access,,N,N,1,Rainfall intensity,"Low flow rate, Moderate and high flow rates",2,N,N,Soil types described,Y,N,N,N,N,N,N,N,N,Shows different rainfall rates over time,3.0,"Displacement of groundwater, Riparian Groundwater Flow, Organic layer interflow",3.0,Lateral flow in organic horizon,Organic layer interflow, discharge from riparian wetlands into stream,Riparian Groundwater Flow, discharge from mineral soil into stream (all unlabelled arrows but described in following section),Displacement of groundwater,,,,,,,,,,,,,,,,,,,,,,,3.0,"Soil water storage, Soil water storage, Organic Layer",3.0,histosol organic horizon (wetlands),Organic Layer, andosol organic horizon,Soil water storage, mineral horizon,Soil water storage ,,,,,,,,,,,,,,
38,"Muñoz-Villers, L.E., McDonnell, J.J., 2012. Runoff generation in a steep, tropical montane cloud forest catchment on permeable volcanic substrate. Water Resour. Res. 48. ",https://doi.org/10.1029/2011wr011316,A catchment in Cofre de Perote volcano,8,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,Topography described,Topography of soil horizons shown,N,N,N,N,Water ages were shown from 3 weeks - 6 months,8.0,"Return Flow, Vertical drainage to groundwater, Saturation excess flow, Infiltration, Throughfall, Subsurface stormflow, Groundwater flow, Channel interception",8.0,Throughfall,Throughfall, channel precipitation,Channel interception, infiltration,Infiltration, percolation,Vertical drainage to groundwater, groundwater flow,Groundwater flow, shallow subsurface flow,Subsurface stormflow, saturation excess overland flow,Saturation excess flow, return flow,Return Flow,,,,,,,,,,,,,6.0,"Soil water storage, Soil water storage, Soil water storage, Unsaturated bedrock storage, Groundwater storage, Channel storage",6.0,A horizon,Soil water storage, BW horizon,Soil water storage , C horizon,Soil water storage , Breccias/rotten rock/saprolite,Unsaturated bedrock storage, groundwater,Groundwater Storage , stream,Channel storage,,,,,,,,
39,"Ocampo, Carlos J, Murugesu Sivapalan, and Carolyn E Oldham. “Field Exploration of Coupled Hydrological and Biogeochemical Catchment Responses and a Unifying Perceptual Model.” Advances in Water Resources 29, no. 2 (2006): 161–80.",https://doi.org/10.1016/j.advwatres.2005.02.014,"SB2 subcatchment, Susannah Brook, Western Australia",8,Not open-access,,Not open-access,,N,N,1,Season,"Late autumn, early winter, winter, spring",4,N,N,Soil types described,Only clay,N,N,N,N,N,N,N,N,Mostly focused on nitrates,4.0,"Subsurface stormflow, Riparian Groundwater Flow, Vertical drainage to groundwater, Infiltration",4.0,Flushing (discharge) from riparian zone,Riparian Groundwater Flow, Deep recharge,Vertical drainage to groundwater, lateral flow in perched aquifer,Subsurface stormflow, infiltration (mostly unlabelled/in caption),Infiltration,,,,,,,,,,,,,,,,,,,,,4.0,"Perched water tables, Riparian aquifer storage, Groundwater storage, Soil water storage",4.0,Shallow perched aquifer,Perched water tables, riparian zone,Riparian aquifer storage, permanent deep aquifer,Groundwater Storage, mottled zone (mottled kaolinitic clays) (=clay layer in soil),Soil water storage,,,,,,,,,,,,
40,"Sayama T, Araki R, Yamamoto K, Apip. 2021. Characteristics of soil and hillslope responses in humid tropical forests in Sumatra, Indonesia. Hydrological Research Letters 15 (2): 23–30",https://doi.org/10.3178/hrl.15.23,Sumatra,4,Conceptual model of the study site. Runoff generation corresponding to (a) high-intensity events and (b) low-intensity events,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/90d1ccdca8fd4129b1a7ce82601c2090/data,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,N,N,1,Rainfall intensity,High/Low intensity rainfall events,2,N,N,N,N,N,N,N,N,N,N,N,N - apart from wetting front shown as highly variable in depth,Depth of surface layer marked on hillslope and close to channel,2.0,"Infiltration, Lateral matrix flow",3.0,Infiltration,Infiltration, water table rise (shown but not labelled),Water table rise, subsurface flow generation,Lateral matrix flow,,,,,,,,,,,,,,,,,,,,,,,3.0,"Water table rise, Soil water storage, Water Table",2.0,Surface layer,Soil water storage, water table,Water table,,,,,,,,,,,,,,,,
41,"Sidle, R.C., Tsuboyama, Y., Noguchi, S., Hosoda, I., Fujieda, M., Shimizu, T., 2000. Stormflow generation in steep forested headwaters: a linked hydrogeomorphic paradigm. Hydrol. Process. 14, 369–385.",https://doi.org/10.1002/(SICI)1099-1085(20000228)14:3%3C369::AID-HYP943%3E3.0.CO;2-P,Hitachi Ohta Experimental Watershed,7,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,Soil property (organic/mineral),7.0,"Exfiltration, Vertical macropore flow, Pistonflow, Lateral macropore flow at soil-bedrock interface, Lateral macropore flow at soil horizons, Connectivity of lateral preferential flow pathways, Mixing",7.0,Preferential flow along organic/b interface,Lateral macropore flow at soil horizons, expansion of macropores into mesopores,Mixing, macropore connectivity,Connectivity of lateral preferential flow pathways, vertical flow through porous zones/buried roots in mineral soil,Vertical macropore flow, flow through bedrock fractures,Pistonflow, exfiltration from bedrock fractures into mineral soil,Exfiltration, flow along microchannels on bedrock interface,Lateral macropore flow at soil-bedrock interface,,,,,,,,,,,,,,,7.0,"Soil water storage, Perched water tables, Tension storage, Bedrock fracture storage, Soil water storage, Soil water storage, Bedrock hollows",7.0,Top soil,Soil water storage, mineral soil,Soil water storage , bedrock fractures,Bedrock fracture storage, perched groundwater,Perched water tables, soil mesopores,Tension storage, buried organic matter/decayed roots,Soil water storage , bedrock surface microchannels,Bedrock hollows,,,,,,
